"animal_type","month","year","intake_type","outcome_type","chip_status","time_at_shelter"
"CAT",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",21
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",2
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",10,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",1
"CAT",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"CAT",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",4,2017,"STRAY","ADOPTION","SCAN CHIP",21
"CAT",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",22
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"CAT",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",4
"DOG",9,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",10
"DOG",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",5
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",2
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",13
"CAT",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",7,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",10
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"CAT",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",18
"DOG",4,2017,"OWNER SURRENDER","RETURNED TO OWNER","SCAN CHIP",1
"CAT",6,2017,"STRAY","OTHER","SCAN NO CHIP",3
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",9,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"CAT",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",13
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",7,2017,"OWNER SURRENDER","RETURNED TO OWNER","SCAN NO CHIP",10
"CAT",7,2017,"OWNER SURRENDER","EUTHANIZED","OTHER",21
"DOG",10,2016,"OWNER SURRENDER","RETURNED TO OWNER","OTHER",0
"CAT",1,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",1,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",16
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",12
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",14
"DOG",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",7
"DOG",3,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",1
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",5
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",8
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",25
